S.NO,YEAR,STATE NAME,CONSTITUENCY NAME,CONSTITUENCY NO,WINNER CANDIDATE NAME,GENDER,PARTY NAME,PARTY SYMBOL,TOTAL ELECTORS,TOTAL NO OF VOTERS (MARGIN),VOTE %,TOTAL NO OF VOTE CASTED,,,,
239,1991,Assam,Mangaldoi,8,Harmohan Sarma,M,Independent,N/A,956170,941929,1.5,14241,,,,
240,1991,Assam,Mangaldoi,8,Hareswar Barman,M,United Reservation Movement Council Of Assam,N/A,956170,922829,3.5,33341,,,,
241,1991,Assam,Mangaldoi,8,Habibar Rahman,M,Natun Asom Gana Parishad,N/A,956170,871691,8.8,84479,,,,
242,1991,Assam,Mangaldoi,8,Lakshmi Kanta Saikia,M,Indian Congress (Socialist-Sarat Chandra Sinha),N/A,956170,868826,9.1,87344,,,,
243,1991,Assam,Mangaldoi,8,Binai Khungur Basumatari,M,Independent,N/A,956170,854102,10.7,102068,,,,
244,1991,Assam,Mangaldoi,8,Birendra Prasad Baishya,M,Asom Gana Parisad,N/A,956170,809773,15.3,146397,,,,
245,1991,Assam,Mangaldoi,8,Prbin Deka,M,Indian National Congress,N/A,956170,791760,17.2,164410,,,,
246,1991,Assam,Tezpur,9,Iswar Dayal Prajapati,M,Door Darshi Party,N/A,805795,801164,0.6,4631,,,,
247,1991,Assam,Tezpur,9,Dilip Kumar Agarwala,M,Independent,N/A,805795,793860,1.5,11935,,,,
248,1991,Assam,Tezpur,9,Rabin Deka,M,Independent,N/A,805795,793661,1.5,12134,,,,
249,1991,Assam,Tezpur,9,Punu Oraon,M,Independent,N/A,805795,793159,1.6,12636,,,,
250,1991,Assam,Tezpur,9,Golok Nath,M,Independent,N/A,805795,784446,2.6,21349,,,,
251,1991,Assam,Tezpur,9,Jay Narayan Luitel,M,Bharatiya Janata Party,N/A,805795,771827,4.2,33968,,,,
252,1991,Assam,Tezpur,9,Rana Prasad Deouri,M,United Reservation Movement Council Of Assam,N/A,805795,765972,4.9,39823,,,,
253,1991,Assam,Tezpur,9,Tanka Bahadur Rai,M,Natun Asom Gana Parishad,N/A,805795,743881,7.7,61914,,,,
254,1991,Assam,Tezpur,9,Purna Narayan Sinha,M,Asom Gana Parisad,N/A,805795,674157,16.3,131638,,,,
255,1991,Assam,Tezpur,9,Swarup Upadhayaya,M,Indian National Congress,N/A,805795,567840,29.5,237955,,,,
256,1991,Assam,Nowgong,10,Abdul Musabbir Choudhury,M,Independent,N/A,878733,875032,0.4,3701,,,,
257,1991,Assam,Nowgong,10,Rishdeo Koiree,M,Door Darshi Party,N/A,878733,873082,0.6,5651,,,,
258,1991,Assam,Nowgong,10,Mukunda Barman,M,Independent,N/A,878733,870862,0.9,7871,,,,
259,1991,Assam,Nowgong,10,Debakanta Saikia,M,Asom Jatiya Parishad,N/A,878733,870686,0.9,8047,,,,
260,1991,Assam,Nowgong,10,Bimal Chandra Saikia,M,Indian Congress (Socialist-Sarat Chandra Sinha),N/A,878733,868483,1.2,10250,,,,
261,1991,Assam,Nowgong,10,Dimbeswar Medhi,M,Independent,N/A,878733,864787,1.6,13946,,,,
262,1991,Assam,Nowgong,10,Laksheswar Hazarika,M,Natun Asom Gana Parishad,N/A,878733,860405,2.1,18328,,,,
263,1991,Assam,Nowgong,10,Dipti Kumar Barua,M,Sanjukta Loka Parishad,N/A,878733,854191,2.8,24542,,,,
264,1991,Assam,Nowgong,10,Inderswar Goswami,M,Janata Dal,N/A,878733,851206,3.1,27527,,,,
265,1991,Assam,Nowgong,10,Birinchi Sarmah,M,Bharatiya Janata Party,N/A,878733,772989,12,105744,,,,
266,1991,Assam,Nowgong,10,Hafiz Rashid Ahmed Choudhary,M,United Minorities Front Assam,N/A,878733,772256,12.1,106477,,,,
267,1991,Assam,Nowgong,10,Bishnu Prasad,M,Indian National Congress,N/A,878733,740169,15.8,138564,,,,
268,1991,Assam,Nowgong,10,Muhiram Saikia,M,Asom Gana Parisad,N/A,878733,727252,17.2,151481,,,,
269,1991,Assam,Kaliabor,11,Rameshwar Bora,M,Janata Dal (Samajwadi),N/A,908505,906065,0.3,2440,,,,
270,1991,Assam,Kaliabor,11,Nural Haque,M,Independent,N/A,908505,904420,0.4,4085,,,,
271,1991,Assam,Kaliabor,11,Pulin Borkataki,M,Independent,N/A,908505,903823,0.5,4682,,,,
272,1991,Assam,Kaliabor,11,Promod Sinha,M,Independent,N/A,908505,902369,0.7,6136,,,,
273,1991,Assam,Kaliabor,11,A. Wahab,M,Independent,N/A,908505,901560,0.8,6945,,,,
274,1991,Assam,Kaliabor,11,Ambu Bora,M,Independent,N/A,908505,899524,1,8981,,,,
275,1991,Assam,Kaliabor,11,Abdul Kalam Kudarjul Islam,M,Independent,N/A,908505,893443,1.7,15062,,,,
276,1991,Assam,Kaliabor,11,Brojen Mahanta,M,United Reservation Movement Council Of Assam,N/A,908505,885434,2.5,23071,,,,
277,1991,Assam,Kaliabor,11,Kasem Ali,M,Janata Dal,N/A,908505,858084,5.5,50421,,,,
278,1991,Assam,Kaliabor,11,Bhadreswar Tanti,M,Natun Asom Gana Parishad,N/A,908505,848036,6.7,60469,,,,
279,1991,Assam,Kaliabor,11,Debeswar Bora,M,Asom Gana Parisad,N/A,908505,738175,18.7,170330,,,,
280,1991,Assam,Kaliabor,11,Tarun Gogoi,M,Indian National Congress,N/A,908505,613456,32.5,295049,,,,
281,1991,Assam,Jorhat,12,Paresh Bardoloi,M,Janata Dal (Samajwadi),N/A,853871,851763,0.2,2108,,,,
282,1991,Assam,Jorhat,12,Md. Alered Ali,M,Independent,N/A,853871,850553,0.4,3318,,,,
283,1991,Assam,Jorhat,12,Biren Gogoi (W),F,Independent,N/A,853871,849724,0.5,4147,,,,
284,1991,Assam,Jorhat,12,Juren Rajkhowa,M,Independent,N/A,853871,849464,0.5,4407,,,,
285,1991,Assam,Jorhat,12,Indu Gogoi (W),F,Independent,N/A,853871,848064,0.7,5807,,,,
286,1991,Assam,Jorhat,12,Md. Nurul Islam,M,Independent,N/A,853871,847251,0.8,6620,,,,
287,1991,Assam,Jorhat,12,Sudhir Chandra Handique,M,Independent,N/A,853871,843269,1.2,10602,,,,
288,1991,Assam,Jorhat,12,Kirti Chutia,M,Independent,N/A,853871,841856,1.4,12015,,,,
289,1991,Assam,Jorhat,12,Krishna Kanta Gogoi,M,United Reservation Movement Council Of Assam,N/A,853871,835653,2.1,18218,,,,
290,1991,Assam,Jorhat,12,Bimal Gogoi,M,Natun Asom Gana Parishad,N/A,853871,816825,4.3,37046,,,,
291,1991,Assam,Jorhat,12,Devanga Prasao Buracohain,M,Communist Party Of India,N/A,853871,793090,7.1,60781,,,,
292,1991,Assam,Jorhat,12,Paragehar Chaliha,M,Asom Gana Parisad,N/A,853871,725165,15.1,128706,,,,
293,1991,Assam,Jorhat,12,Bijoy Krishna Handuqui,M,Indian National Congress,N/A,853871,614502,28,239369,,,,
294,1991,Assam,Dibrugarh,13,Nurul Muda Ahmed,M,Independent,N/A,801311,799306,0.3,2005,,,,
295,1991,Assam,Dibrugarh,13,Sitaram Bukardia,M,Independent,N/A,801311,798727,0.3,2584,,,,
296,1991,Assam,Dibrugarh,13,Dharmananda Pandey,M,Independent,N/A,801311,796343,0.6,4968,,,,
297,1991,Assam,Dibrugarh,13,Doli Das (W),F,Independent,N/A,801311,796253,0.6,5058,,,,
298,1991,Assam,Dibrugarh,13,Abraham Sanga,M,United Reservation Movement Council Of Assam,N/A,801311,795366,0.7,5945,,,,
299,1991,Assam,Dibrugarh,13,Phate Chandra Garodia,M,Indian Congress (Socialist-Sarat Chandra Sinha),N/A,801311,791046,1.3,10265,,,,
300,1991,Assam,Dibrugarh,13,Jogen Hazarika,M,Independent,N/A,801311,787037,1.8,14274,,,,
301,1991,Assam,Dibrugarh,13,Anil Baruan,M,Indian Peoples Front,N/A,801311,776345,3.1,24966,,,,
302,1991,Assam,Dibrugarh,13,Kumud Bihari Das,M,Bharatiya Janata Party,N/A,801311,773619,3.5,27692,,,,
303,1991,Assam,Dibrugarh,13,Israil Nanda,M,Natun Asom Gana Parishad,N/A,801311,766300,4.4,35011,,,,
304,1991,Assam,Dibrugarh,13,Dipen Tanti,M,Asom Gana Parisad,N/A,801311,695294,13.2,106017,,,,
305,1991,Assam,Dibrugarh,13,Paban Singh Ghatowar,M,Indian National Congress,N/A,801311,557374,30.4,243937,,,,
306,1991,Assam,Lakhimpur,14,Radakishan Baheti,M,Independent,N/A,887318,884174,0.4,3144,,,,
307,1991,Assam,Lakhimpur,14,Premadhar Borah,M,Independent,N/A,887318,883248,0.5,4070,,,,
308,1991,Assam,Lakhimpur,14,Uma Kanta Rajkhowa,M,Independent,N/A,887318,882947,0.5,4371,,,,
309,1991,Assam,Lakhimpur,14,Hiranya Pegu,M,Independent,N/A,887318,881832,0.6,5486,,,,
310,1991,Assam,Lakhimpur,14,Padameswar Phukan,M,Janata Party,N/A,887318,881107,0.7,6211,,,,
311,1991,Assam,Lakhimpur,14,Rita Debi (W),F,Independent,N/A,887318,876919,1.2,10399,,,,
312,1991,Assam,Lakhimpur,14,Girish Chandra Patra,M,Natun Asom Gana Parishad,N/A,887318,876073,1.3,11245,,,,
313,1991,Assam,Lakhimpur,14,Norendra Nath Gohain,M,Independent,N/A,887318,874599,1.4,12719,,,,
314,1991,Assam,Lakhimpur,14,Birochon Doley,M,Plains Tribals Council Of Assam,N/A,887318,870958,1.8,16360,,,,
315,1991,Assam,Lakhimpur,14,Neelotpal Rajkonwar,M,Independent,N/A,887318,865768,2.4,21550,,,,
316,1991,Assam,Lakhimpur,14,Saifuddin Ali Hazarika,M,Communist Party Of India,N/A,887318,855022,3.6,32296,,,,
317,1991,Assam,Lakhimpur,14,Dulal Chandra Baruah,M,Janata Dal,N/A,887318,820335,7.5,66983,,,,
318,1991,Assam,Lakhimpur,14,Ronoj Pegu,M,Independent,N/A,887318,797794,10.1,89524,,,,
319,1991,Assam,Lakhimpur,14,Iswar Prasanna Hazarika,M,Asom Gana Parisad,N/A,887318,761068,14.2,126250,,,,
320,1991,Assam,Lakhimpur,14,Bolin Kuli,M,Indian National Congress,N/A,887318,699708,21.1,187610,,,,
321,1996,Assam,Karimganj,1,Benode Das,M,Independent,N/A,876542,875350,0.1,1192,,,,
