S.NO,YEAR,STATE NAME,CONSTITUENCY NAME,CONSTITUENCY NO,WINNER CANDIDATE NAME,GENDER,PARTY NAME,PARTY SYMBOL,TOTAL ELECTORS,TOTAL NO OF VOTERS (MARGIN),VOTE %,TOTAL NO OF VOTE CASTED,,,,
1938,1980,Uttar Pradesh,Basti,34,Sant Ram,M,Independents,N/A,703177,700103,0.4,3074,,,,
1939,1980,Uttar Pradesh,Basti,34,Mohan Lal,M,Independents,N/A,703177,698118,0.7,5059,,,,
1940,1980,Uttar Pradesh,Basti,34,Rajai,M,Independents,N/A,703177,697845,0.8,5332,,,,
1941,1980,Uttar Pradesh,Basti,34,Dukhi Ram Rahi,M,Independents,N/A,703177,695228,1.1,7949,,,,
1942,1980,Uttar Pradesh,Basti,34,Sheo Narain,M,Janta Party,N/A,703177,652252,7.2,50925,,,,
1943,1980,Uttar Pradesh,Basti,34,Girdhari Lal,M,Janta Party (Secular),N/A,703177,622635,11.5,80542,,,,
1944,1980,Uttar Pradesh,Basti,34,Kalpnath,M,Indian Natioanl Congress (I),N/A,703177,595745,15.3,107432,,,,
1945,1980,Uttar Pradesh,Domariaganj,35,Kasho Ram Nisad,M,Independents,N/A,719976,716030,0.5,3946,,,,
1946,1980,Uttar Pradesh,Domariaganj,35,Chandra Prakash,M,Independents,N/A,719976,715305,0.6,4671,,,,
1947,1980,Uttar Pradesh,Domariaganj,35,Hari Lal Jaiswal,M,Independents,N/A,719976,714888,0.7,5088,,,,
1948,1980,Uttar Pradesh,Domariaganj,35,Pramod Kumar,M,Independents,N/A,719976,711640,1.2,8336,,,,
1949,1980,Uttar Pradesh,Domariaganj,35,Shashi Bhan,M,Independents,N/A,719976,710197,1.4,9779,,,,
1950,1980,Uttar Pradesh,Domariaganj,35,Bhagi Rathi,M,Independents,N/A,719976,708940,1.5,11036,,,,
1951,1980,Uttar Pradesh,Domariaganj,35,Ram Rattan Choudhary,M,Janta Party (Secular),N/A,719976,650866,9.6,69110,,,,
1952,1980,Uttar Pradesh,Domariaganj,35,Madho Prasad Tripathi,M,Janta Party,N/A,719976,620874,13.8,99102,,,,
1953,1980,Uttar Pradesh,Domariaganj,35,Kazi Jalil Abbasi,M,Indian Natioanl Congress (I),N/A,719976,555407,22.9,164569,,,,
1954,1980,Uttar Pradesh,Khalilabad,36,Sant Prasad,M,Independents,N/A,721490,720091,0.2,1399,,,,
1955,1980,Uttar Pradesh,Khalilabad,36,Abdul Wafa,M,Independents,N/A,721490,719659,0.3,1831,,,,
1956,1980,Uttar Pradesh,Khalilabad,36,Baikunath Nath,M,Independents,N/A,721490,719619,0.3,1871,,,,
1957,1980,Uttar Pradesh,Khalilabad,36,Paras Nath,M,Independents,N/A,721490,718786,0.4,2704,,,,
1958,1980,Uttar Pradesh,Khalilabad,36,Ram Mani Shukla,M,Independents,N/A,721490,717895,0.5,3595,,,,
1959,1980,Uttar Pradesh,Khalilabad,36,Ram Swaroop Verma,M,Shoshit Samaj Dal (Akhil Bharatiya),N/A,721490,717821,0.5,3669,,,,
1960,1980,Uttar Pradesh,Khalilabad,36,Ainullah,M,Independents,N/A,721490,716918,0.6,4572,,,,
1961,1980,Uttar Pradesh,Khalilabad,36,Babullah,M,Independents,N/A,721490,715191,0.9,6299,,,,
1962,1980,Uttar Pradesh,Khalilabad,36,Ram Ji,M,Independents,N/A,721490,714136,1,7354,,,,
1963,1980,Uttar Pradesh,Khalilabad,36,Girdhari Singh Chauhan,M,Independents,N/A,721490,713490,1.1,8000,,,,
1964,1980,Uttar Pradesh,Khalilabad,36,Kesri Pandey,M,Independents,N/A,721490,706152,2.1,15338,,,,
1965,1980,Uttar Pradesh,Khalilabad,36,Ranjeet Singh,M,Janta Party,N/A,721490,664462,7.9,57028,,,,
1966,1980,Uttar Pradesh,Khalilabad,36,Brij Bhushan,M,Janta Party (Secular),N/A,721490,622139,13.8,99351,,,,
1967,1980,Uttar Pradesh,Khalilabad,36,Krishna Chandra Pandey,M,Indian Natioanl Congress (I),N/A,721490,602198,16.5,119292,,,,
1968,1980,Uttar Pradesh,Bansgaon,37,Jhinku,M,Independents,N/A,723581,718860,0.7,4721,,,,
1969,1980,Uttar Pradesh,Bansgaon,37,Mishri Lal,M,Independents,N/A,723581,716087,1,7494,,,,
1970,1980,Uttar Pradesh,Bansgaon,37,Phirangi Prasad,M,Janta Party (Secular),N/A,723581,641506,11.3,82075,,,,
1971,1980,Uttar Pradesh,Bansgaon,37,Ram Surat,M,Janta Party,N/A,723581,633373,12.5,90208,,,,
1972,1980,Uttar Pradesh,Bansgaon,37,Mahabir Prasad,M,Indian Natioanl Congress (I),N/A,723581,601312,16.9,122269,,,,
1973,1980,Uttar Pradesh,Gorakhpur,38,Krishna Chandra Chaturvedi,M,Independents,N/A,654106,652025,0.3,2081,,,,
1974,1980,Uttar Pradesh,Gorakhpur,38,Suresh Chandra Bhargava,M,Independents,N/A,654106,651962,0.3,2144,,,,
1975,1980,Uttar Pradesh,Gorakhpur,38,Sant Kumar,M,Independents,N/A,654106,651871,0.3,2235,,,,
1976,1980,Uttar Pradesh,Gorakhpur,38,Guru Sewak Guru Prasad Tripathi,M,Independents,N/A,654106,651604,0.4,2502,,,,
1977,1980,Uttar Pradesh,Gorakhpur,38,Ramji Prasad Verma,M,Independents,N/A,654106,650651,0.5,3455,,,,
1978,1980,Uttar Pradesh,Gorakhpur,38,Rama Kant Pandey,M,Independents,N/A,654106,649889,0.6,4217,,,,
1979,1980,Uttar Pradesh,Gorakhpur,38,Baij Nath Tripathi,M,Independents,N/A,654106,649645,0.7,4461,,,,
1980,1980,Uttar Pradesh,Gorakhpur,38,Purshotam Urf Swami Purshotma Nand,M,Independents,N/A,654106,645228,1.4,8878,,,,
1981,1980,Uttar Pradesh,Gorakhpur,38,Shaukat Ali,M,Independents,N/A,654106,643762,1.6,10344,,,,
1982,1980,Uttar Pradesh,Gorakhpur,38,Ram Karan Singh,M,Janta Party,N/A,654106,570964,12.7,83142,,,,
1983,1980,Uttar Pradesh,Gorakhpur,38,Deep Narain Yadav,M,Janta Party (Secular),N/A,654106,561451,14.2,92655,,,,
1984,1980,Uttar Pradesh,Gorakhpur,38,Hari Kesh Bahadur,M,Indian Natioanl Congress (I),N/A,654106,545310,16.6,108796,,,,
1985,1980,Uttar Pradesh,Maharajganj,39,Shibban Lal Saksena,M,Independents,N/A,646075,639619,1,6456,,,,
1986,1980,Uttar Pradesh,Maharajganj,39,Sukh Shagar Das,M,Independents,N/A,646075,639432,1,6643,,,,
1987,1980,Uttar Pradesh,Maharajganj,39,Ganjeshwar Tiwari,M,Independents,N/A,646075,639094,1.1,6981,,,,
1988,1980,Uttar Pradesh,Maharajganj,39,Sanktha Prasad Yadav,M,Independents,N/A,646075,635492,1.6,10583,,,,
1989,1980,Uttar Pradesh,Maharajganj,39,Ram Krishna Dwivedi,M,Indian National Congress (U),N/A,646075,633773,1.9,12302,,,,
1990,1980,Uttar Pradesh,Maharajganj,39,Kedar Nath,M,Janta Party,N/A,646075,586660,9.2,59415,,,,
1991,1980,Uttar Pradesh,Maharajganj,39,Janardan Singh Azad,M,Janta Party (Secular),N/A,646075,536523,17,109552,,,,
1992,1980,Uttar Pradesh,Maharajganj,39,Ashfaq Husain,M,Indian Natioanl Congress (I),N/A,646075,512987,20.6,133088,,,,
1993,1980,Uttar Pradesh,Padrauna,40,Sujak Ali,M,Independents,N/A,694522,692008,0.4,2514,,,,
1994,1980,Uttar Pradesh,Padrauna,40,Ayodhya Prasad Tripathi,M,Independents,N/A,694522,690756,0.5,3766,,,,
1995,1980,Uttar Pradesh,Padrauna,40,Chandra Bhushan Pandey,M,Independents,N/A,694522,690038,0.6,4484,,,,
1996,1980,Uttar Pradesh,Padrauna,40,Rama Shanker Ram,M,Independents,N/A,694522,689519,0.7,5003,,,,
1997,1980,Uttar Pradesh,Padrauna,40,Swami Nath Misra,M,Independents,N/A,694522,689161,0.8,5361,,,,
1998,1980,Uttar Pradesh,Padrauna,40,Rajbali Thakur,M,Independents,N/A,694522,687294,1,7228,,,,
1999,1980,Uttar Pradesh,Padrauna,40,Malti Pandey,F,Janta Party,N/A,694522,602153,13.3,92369,,,,
2000,1980,Uttar Pradesh,Padrauna,40,Siraj Ahmed,M,Janta Party (Secular),N/A,694522,597764,13.9,96758,,,,
2001,1980,Uttar Pradesh,Padrauna,40,Kunwar Chandra Pratap Narain Singh,M,Indian Natioanl Congress (I),N/A,694522,574788,17.2,119734,,,,
2002,1980,Uttar Pradesh,Deoria,41,Alauddin,M,Independents,N/A,739362,736209,0.4,3153,,,,
2003,1980,Uttar Pradesh,Deoria,41,Ramapati Urf Ramakant,M,Independents,N/A,739362,733006,0.9,6356,,,,
2004,1980,Uttar Pradesh,Deoria,41,Jagadamba,M,Independents,N/A,739362,732759,0.9,6603,,,,
2005,1980,Uttar Pradesh,Deoria,41,Ram Bhajan Singh,M,Independents,N/A,739362,730713,1.2,8649,,,,
2006,1980,Uttar Pradesh,Deoria,41,Deep Narin Mani,M,Indian National Congress (U),N/A,739362,730300,1.2,9062,,,,
2007,1980,Uttar Pradesh,Deoria,41,Ugrasen,M,Janta Party,N/A,739362,658025,11,81337,,,,
2008,1980,Uttar Pradesh,Deoria,41,Ramdhari Shastri,M,Janta Party (Secular),N/A,739362,629425,14.9,109937,,,,
2009,1980,Uttar Pradesh,Deoria,41,Ramayan Rai,M,Indian Natioanl Congress (I),N/A,739362,629348,14.9,110014,,,,
2010,1980,Uttar Pradesh,Salempur,42,Amala Bhai,M,Independents,N/A,760913,758605,0.3,2308,,,,
2011,1980,Uttar Pradesh,Salempur,42,Viveka Nand Misra,M,Independents,N/A,760913,757779,0.4,3134,,,,
2012,1980,Uttar Pradesh,Salempur,42,Ram Kripal Singh,M,Independents,N/A,760913,753512,1,7401,,,,
2013,1980,Uttar Pradesh,Salempur,42,Kanhiya Lal,M,Independents,N/A,760913,751330,1.3,9583,,,,
2014,1980,Uttar Pradesh,Salempur,42,Panchannan Misra,M,Janta Party,N/A,760913,656274,13.8,104639,,,,
2015,1980,Uttar Pradesh,Salempur,42,Ram Naresh Kushwaha,M,Janta Party (Secular),N/A,760913,655527,13.8,105386,,,,
2016,1980,Uttar Pradesh,Salempur,42,Ram Nagina Misra,M,Indian Natioanl Congress (I),N/A,760913,639573,15.9,121340,,,,
2017,1980,Uttar Pradesh,Ballia,43,Omkar Nath Alias Narain Ji,M,Independents,N/A,750408,749579,0.1,829,,,,
2018,1980,Uttar Pradesh,Ballia,43,Bhagwanji Singh,M,Independents,N/A,750408,748707,0.2,1701,,,,
2019,1980,Uttar Pradesh,Ballia,43,Gulabchand,M,Independents,N/A,750408,747263,0.4,3145,,,,
2020,1980,Uttar Pradesh,Ballia,43,Kailash,M,Independents,N/A,750408,746677,0.5,3731,,,,
2021,1980,Uttar Pradesh,Ballia,43,Chandrika Prasad,M,Indian National Congress (U),N/A,750408,743192,1,7216,,,,
2022,1980,Uttar Pradesh,Ballia,43,Janeshwar Misra,M,Janta Party (Secular),N/A,750408,676747,9.8,73661,,,,
2023,1980,Uttar Pradesh,Ballia,43,Jagannath Chaudhary,M,Indian Natioanl Congress (I),N/A,750408,614095,18.2,136313,,,,
2024,1980,Uttar Pradesh,Ballia,43,Chandra Shikhar,M,Janta Party,N/A,750408,590507,21.3,159901,,,,
2025,1980,Uttar Pradesh,Ghosi,44,Jabbar,M,Independents,N/A,707879,704438,0.5,3441,,,,
2026,1980,Uttar Pradesh,Ghosi,44,Subedar Yadav,M,Independents,N/A,707879,703902,0.6,3977,,,,
2027,1980,Uttar Pradesh,Ghosi,44,Shambhu,M,Independents,N/A,707879,699977,1.1,7902,,,,
2028,1980,Uttar Pradesh,Ghosi,44,Sukkhu,M,Independents,N/A,707879,688221,2.8,19658,,,,
2029,1980,Uttar Pradesh,Ghosi,44,Ramlal,M,Independents,N/A,707879,687604,2.9,20275,,,,
2030,1980,Uttar Pradesh,Ghosi,44,Shivram,M,Janta Party,N/A,707879,620555,12.3,87324,,,,
2031,1980,Uttar Pradesh,Ghosi,44,Kalpnath,M,Indian Natioanl Congress (I),N/A,707879,596832,15.7,111047,,,,
2032,1980,Uttar Pradesh,Ghosi,44,Jharkhande,M,Communist Party Of India,N/A,707879,590536,16.6,117343,,,,
2033,1980,Uttar Pradesh,Azamgarh,45,Madanlal,M,Independents,N/A,707302,706115,0.2,1187,,,,
2034,1980,Uttar Pradesh,Azamgarh,45,Subedar,M,Independents,N/A,707302,705899,0.2,1403,,,,
2035,1980,Uttar Pradesh,Azamgarh,45,Mithilesh,M,Independents,N/A,707302,705502,0.3,1800,,,,
2036,1980,Uttar Pradesh,Azamgarh,45,Mukhram,M,Independents,N/A,707302,705439,0.3,1863,,,,
2037,1980,Uttar Pradesh,Azamgarh,45,Hari,M,Independents,N/A,707302,704688,0.4,2614,,,,
2038,1980,Uttar Pradesh,Azamgarh,45,Pyare Lal,M,Independents,N/A,707302,704512,0.4,2790,,,,
2039,1980,Uttar Pradesh,Azamgarh,45,Sanktha,M,Independents,N/A,707302,704268,0.4,3034,,,,
2040,1980,Uttar Pradesh,Azamgarh,45,Gomti,M,Independents,N/A,707302,703930,0.5,3372,,,,
2041,1980,Uttar Pradesh,Azamgarh,45,Shyamsunder,M,Independents,N/A,707302,703581,0.5,3721,,,,
2042,1980,Uttar Pradesh,Azamgarh,45,Baliram Prasad,M,Independents,N/A,707302,700992,0.9,6310,,,,
2043,1980,Uttar Pradesh,Azamgarh,45,Rampalat,M,Independents,N/A,707302,698349,1.3,8953,,,,
2044,1980,Uttar Pradesh,Azamgarh,45,Tripurari Pujan Pratap Singh Alias Bachcha Babu,M,Janta Party,N/A,707302,618788,12.5,88514,,,,
2045,1980,Uttar Pradesh,Azamgarh,45,Zafaruddin Khan Faizan,M,Indian Natioanl Congress (I),N/A,707302,613416,13.3,93886,,,,
2046,1980,Uttar Pradesh,Azamgarh,45,Chandrajeet,M,Janta Party (Secular),N/A,707302,548233,22.5,159069,,,,
2047,1980,Uttar Pradesh,Lalganj,46,Phulchandra,M,Independents,N/A,754104,747982,0.8,6122,,,,
2048,1980,Uttar Pradesh,Lalganj,46,Balkishan,M,Independents,N/A,754104,744443,1.3,9661,,,,
2049,1980,Uttar Pradesh,Lalganj,46,Chandrabhushan,M,Independents,N/A,754104,743317,1.4,10787,,,,
2050,1980,Uttar Pradesh,Lalganj,46,Shyamdhari,M,Indian Natioanl Congress (I),N/A,754104,660427,12.4,93677,,,,
2051,1980,Uttar Pradesh,Lalganj,46,Ramdhan,M,Janta Party,N/A,754104,632991,16.1,121113,,,,
2052,1980,Uttar Pradesh,Lalganj,46,Chhagur,M,Janta Party (Secular),N/A,754104,623608,17.3,130496,,,,
2053,1980,Uttar Pradesh,Machhlishahr,47,Abhai Pratap Singh,M,Indian National Congress (U),N/A,707794,706249,0.2,1545,,,,
2054,1980,Uttar Pradesh,Machhlishahr,47,Sripal,M,Socialist Unity Centre Of India,N/A,707794,705236,0.4,2558,,,,
2055,1980,Uttar Pradesh,Machhlishahr,47,Amar Bahadur Singh,M,Independents,N/A,707794,701815,0.8,5979,,,,
2056,1980,Uttar Pradesh,Machhlishahr,47,Dharam Raj Singh Gautam,M,Republican Party Of India (Khobragade),N/A,707794,700072,1.1,7722,,,,
2057,1980,Uttar Pradesh,Machhlishahr,47,Mehdi Zafri,M,Independents,N/A,707794,691326,2.3,16468,,,,
2058,1980,Uttar Pradesh,Machhlishahr,47,Raj Keshar Singh,M,Janta Party,N/A,707794,629562,11.1,78232,,,,
2059,1980,Uttar Pradesh,Machhlishahr,47,Nageshwar Dwivedi,M,Indian Natioanl Congress (I),N/A,707794,595730,15.8,112064,,,,
2060,1980,Uttar Pradesh,Machhlishahr,47,Sheo Sharan Verma,M,Janta Party (Secular),N/A,707794,584510,17.4,123284,,,,
2061,1980,Uttar Pradesh,Jaunpur,48,Mahendra Narain,M,Independents,N/A,715727,714078,0.2,1649,,,,
2062,1980,Uttar Pradesh,Jaunpur,48,Jagdish Chandra,M,Independents,N/A,715727,712459,0.5,3268,,,,
2063,1980,Uttar Pradesh,Jaunpur,48,Shashidhar Narain Urf Shyam Pandit,M,Independents,N/A,715727,711671,0.6,4056,,,,
2064,1980,Uttar Pradesh,Jaunpur,48,Vind Basini,M,Independents,N/A,715727,711240,0.6,4487,,,,
2065,1980,Uttar Pradesh,Jaunpur,48,Ghanshyam Lal Nigam,M,Independents,N/A,715727,710653,0.7,5074,,,,
2066,1980,Uttar Pradesh,Jaunpur,48,Mehdi Zafri,M,Independents,N/A,715727,709291,0.9,6436,,,,
2067,1980,Uttar Pradesh,Jaunpur,48,Ish Narain,M,Independents,N/A,715727,707580,1.1,8147,,,,
2068,1980,Uttar Pradesh,Jaunpur,48,Yadvendra Dutta Dubey,M,Janta Party,N/A,715727,631636,11.7,84091,,,,
2069,1980,Uttar Pradesh,Jaunpur,48,Raj Deo,M,Indian Natioanl Congress (I),N/A,715727,589745,17.6,125982,,,,
2070,1980,Uttar Pradesh,Jaunpur,48,Azizulla,M,Janta Party (Secular),N/A,715727,586982,18,128745,,,,
2071,1980,Uttar Pradesh,Saidpur,49,Baldeo,M,Independents,N/A,745675,734194,1.5,11481,,,,
2072,1980,Uttar Pradesh,Saidpur,49,Shyam Lal,M,Indian Natioanl Congress (I),N/A,745675,646283,13.3,99392,,,,
2073,1980,Uttar Pradesh,Saidpur,49,Ram Sagar,M,Janta Party,N/A,745675,623641,16.4,122034,,,,
2074,1980,Uttar Pradesh,Saidpur,49,Rajnath Sonkar Shastri,M,Janta Party (Secular),N/A,745675,609658,18.2,136017,,,,
2075,1980,Uttar Pradesh,Ghazipur,50,Rajendra Prasad Rai,M,Independents,N/A,727709,727151,0.1,558,,,,
2076,1980,Uttar Pradesh,Ghazipur,50,Gangli Prasad,M,Independents,N/A,727709,726400,0.2,1309,,,,
2077,1980,Uttar Pradesh,Ghazipur,50,Indrajeet Pande,M,Independents,N/A,727709,726184,0.2,1525,,,,
2078,1980,Uttar Pradesh,Ghazipur,50,Udai Nath,M,Independents,N/A,727709,725133,0.4,2576,,,,
2079,1980,Uttar Pradesh,Ghazipur,50,Surendra Bahadur Rai,M,Independents,N/A,727709,723270,0.6,4439,,,,
2080,1980,Uttar Pradesh,Ghazipur,50,Shiv Narain Rai,M,Independents,N/A,727709,723217,0.6,4492,,,,
2081,1980,Uttar Pradesh,Ghazipur,50,Ram Surat Rai,M,Independents,N/A,727709,715178,1.7,12531,,,,
2082,1980,Uttar Pradesh,Ghazipur,50,Rishideo Misra,M,Independents,N/A,727709,713957,1.9,13752,,,,
2083,1980,Uttar Pradesh,Ghazipur,50,Gauri Shanker,M,Janta Party,N/A,727709,638355,12.3,89354,,,,
2084,1980,Uttar Pradesh,Ghazipur,50,Sarjoo Pandey,M,Communist Party Of India,N/A,727709,607703,16.5,120006,,,,
2085,1980,Uttar Pradesh,Ghazipur,50,Jainul Bashar,M,Indian Natioanl Congress (I),N/A,727709,602412,17.2,125297,,,,
2086,1980,Uttar Pradesh,Chandauli,51,Inamul Haq,M,Independents,N/A,717834,717335,0.1,499,,,,
2087,1980,Uttar Pradesh,Chandauli,51,Munni Lal,M,Independents,N/A,717834,717052,0.1,782,,,,
2088,1980,Uttar Pradesh,Chandauli,51,Hari Shankar,M,Independents,N/A,717834,716739,0.2,1095,,,,
2089,1980,Uttar Pradesh,Chandauli,51,Phailoo,M,Independents,N/A,717834,716655,0.2,1179,,,,
2090,1980,Uttar Pradesh,Chandauli,51,Bhupendra Nath,M,Akhil Bharatiya Ramrajya Parishad,N/A,717834,716528,0.2,1306,,,,
2091,1980,Uttar Pradesh,Chandauli,51,Shyam Narain,M,Independents,N/A,717834,716123,0.2,1711,,,,
2092,1980,Uttar Pradesh,Chandauli,51,Shamim Ahmad Milki,M,Independents,N/A,717834,716068,0.2,1766,,,,
2093,1980,Uttar Pradesh,Chandauli,51,Jai Prakash Singh,M,Independents,N/A,717834,715826,0.3,2008,,,,
2094,1980,Uttar Pradesh,Chandauli,51,Ram Narain,M,Independents,N/A,717834,715405,0.3,2429,,,,
2095,1980,Uttar Pradesh,Chandauli,51,Surendra Kumar,M,Independents,N/A,717834,715287,0.4,2547,,,,
2096,1980,Uttar Pradesh,Chandauli,51,Surjan Ram,M,Independents,N/A,717834,715286,0.4,2548,,,,
2097,1980,Uttar Pradesh,Chandauli,51,Bal Mukand Tripathi,M,Independents,N/A,717834,714971,0.4,2863,,,,
2098,1980,Uttar Pradesh,Chandauli,51,Triyogi Nath,M,Independents,N/A,717834,714041,0.5,3793,,,,
2099,1980,Uttar Pradesh,Chandauli,51,Kripa Shanker,M,Independents,N/A,717834,712620,0.7,5214,,,,
2100,1980,Uttar Pradesh,Chandauli,51,Sheo Nath Ram,M,Independents,N/A,717834,707964,1.4,9870,,,,
2101,1980,Uttar Pradesh,Chandauli,51,Nathuni,M,Independents,N/A,717834,707753,1.4,10081,,,,
2102,1980,Uttar Pradesh,Chandauli,51,Nar Singh,M,Janta Party (Secular),N/A,717834,621698,13.4,96136,,,,
2103,1980,Uttar Pradesh,Chandauli,51,Upendra Pratap,M,Indian Natioanl Congress (I),N/A,717834,613808,14.5,104026,,,,
2104,1980,Uttar Pradesh,Chandauli,51,Nihal Singh,M,Janta Party,N/A,717834,592950,17.4,124884,,,,
2105,1980,Uttar Pradesh,Varanasi,52,Panna Lal Jaiswal,M,Independents,N/A,665915,665667,0,248,,,,
2106,1980,Uttar Pradesh,Varanasi,52,Baij Nath Gupta Jaiswal,M,Independents,N/A,665915,665620,0,295,,,,
2107,1980,Uttar Pradesh,Varanasi,52,Shambhu Nath Misra,M,Independents,N/A,665915,665536,0.1,379,,,,
2108,1980,Uttar Pradesh,Varanasi,52,Ram Bali Misra Vyas,M,Akhil Bharatiya Ramrajya Parishad,N/A,665915,665157,0.1,758,,,,
2109,1980,Uttar Pradesh,Varanasi,52,Lalji,M,Independents,N/A,665915,665136,0.1,779,,,,
2110,1980,Uttar Pradesh,Varanasi,52,Ram Lakhan Gupta,M,Independents,N/A,665915,665044,0.1,871,,,,
2111,1980,Uttar Pradesh,Varanasi,52,Ramji,M,Independents,N/A,665915,664939,0.1,976,,,,
2112,1980,Uttar Pradesh,Varanasi,52,Miltan Charan,M,Independents,N/A,665915,664923,0.1,992,,,,
2113,1980,Uttar Pradesh,Varanasi,52,Kamal Prakash Srivastava,M,Independents,N/A,665915,664811,0.2,1104,,,,
2114,1980,Uttar Pradesh,Varanasi,52,Nand Lal,M,Independents,N/A,665915,664804,0.2,1111,,,,
2115,1980,Uttar Pradesh,Varanasi,52,Vijay Narin Misra,M,Independents,N/A,665915,664475,0.2,1440,,,,
2116,1980,Uttar Pradesh,Varanasi,52,Ahmad Hasan,M,Independents,N/A,665915,664189,0.3,1726,,,,
2117,1980,Uttar Pradesh,Varanasi,52,Girija Shanker Singh,M,Independents,N/A,665915,664155,0.3,1760,,,,
2118,1980,Uttar Pradesh,Varanasi,52,Ram Kailash Singh Bhaduriya,M,Independents,N/A,665915,663731,0.3,2184,,,,
2119,1980,Uttar Pradesh,Varanasi,52,Karuna Nidhan Roy,M,Independents,N/A,665915,663511,0.4,2404,,,,
2120,1980,Uttar Pradesh,Varanasi,52,Ram Narain,M,Independents,N/A,665915,663387,0.4,2528,,,,
2121,1980,Uttar Pradesh,Varanasi,52,Nand Lal Singh Kashyap,M,Independents,N/A,665915,662899,0.5,3016,,,,
2122,1980,Uttar Pradesh,Varanasi,52,Niyaj Uddin,M,Republican Party Of India (Khobragade),N/A,665915,662361,0.5,3554,,,,
2123,1980,Uttar Pradesh,Varanasi,52,Jagdish Chandra Purve,M,Independents,N/A,665915,658088,1.2,7827,,,,
2124,1980,Uttar Pradesh,Varanasi,52,Om Prakash,M,Janta Party,N/A,665915,583622,12.4,82293,,,,
2125,1980,Uttar Pradesh,Varanasi,52,Raj Narain,M,Janta Party (Secular),N/A,665915,561587,15.7,104328,,,,
2126,1980,Uttar Pradesh,Varanasi,52,Kamalapati,M,Indian Natioanl Congress (I),N/A,665915,536852,19.4,129063,,,,
2127,1980,Uttar Pradesh,Robertsganj,53,Ram Surat,M,Independents,N/A,729419,724894,0.6,4525,,,,
2128,1980,Uttar Pradesh,Robertsganj,53,Raghunath Prasad,M,Independents,N/A,729419,723729,0.8,5690,,,,
2129,1980,Uttar Pradesh,Robertsganj,53,Ram Swarup,M,Indian National Congress (U),N/A,729419,722015,1,7404,,,,
2130,1980,Uttar Pradesh,Robertsganj,53,Pakauri,M,Independents,N/A,729419,720389,1.2,9030,,,,
2131,1980,Uttar Pradesh,Robertsganj,53,Shiv Sampati Ram,M,Janta Party,N/A,729419,642756,11.9,86663,,,,
2132,1980,Uttar Pradesh,Robertsganj,53,Ram Nihore Ram,M,Janta Party (Secular),N/A,729419,620313,15,109106,,,,
2133,1980,Uttar Pradesh,Robertsganj,53,Ram Pyare Panika,M,Indian Natioanl Congress (I),N/A,729419,604311,17.2,125108,,,,
2134,1980,Uttar Pradesh,Mirzapur,54,"Srivastava, Prem Chand",M,Independents,N/A,723350,722034,0.2,1316,,,,
2135,1980,Uttar Pradesh,Mirzapur,54,"Shukla, Doodhnath",M,Independents,N/A,723350,721230,0.3,2120,,,,
2136,1980,Uttar Pradesh,Mirzapur,54,Samar Bahadur,M,Independents,N/A,723350,719263,0.6,4087,,,,
2137,1980,Uttar Pradesh,Mirzapur,54,"Pandey, Radhey Shyam",M,Independents,N/A,723350,719135,0.6,4215,,,,
2138,1980,Uttar Pradesh,Mirzapur,54,Lalta,M,All India Forward Block,N/A,723350,718368,0.7,4982,,,,
2139,1980,Uttar Pradesh,Mirzapur,54,Bhagwati,M,Independents,N/A,723350,716604,0.9,6746,,,,
2140,1980,Uttar Pradesh,Mirzapur,54,Parmanand,M,Independents,N/A,723350,716187,1,7163,,,,
2141,1980,Uttar Pradesh,Mirzapur,54,Jamuna Das,M,Republican Party Of India (Khobragade),N/A,723350,716118,1,7232,,,,
2142,1980,Uttar Pradesh,Mirzapur,54,Shanker,M,Independents,N/A,723350,714141,1.3,9209,,,,
2143,1980,Uttar Pradesh,Mirzapur,54,Mishra Shyam Dhar,M,Indian National Congress (U),N/A,723350,676917,6.4,46433,,,,
2144,1980,Uttar Pradesh,Mirzapur,54,Giri Anand Deo,M,Janta Party,N/A,723350,652347,9.8,71003,,,,
2145,1980,Uttar Pradesh,Mirzapur,54,Yusuf,M,Janta Party (Secular),N/A,723350,640944,11.4,82406,,,,
2146,1980,Uttar Pradesh,Mirzapur,54,Aziz Imam,M,Indian Natioanl Congress (I),N/A,723350,606421,16.2,116929,,,,
2147,1980,Uttar Pradesh,Phulpur,55,Raj Kumar,M,Independents,N/A,679901,677652,0.3,2249,,,,
2148,1980,Uttar Pradesh,Phulpur,55,Shailendra,M,Independents,N/A,679901,675844,0.6,4057,,,,
2149,1980,Uttar Pradesh,Phulpur,55,Ram Deen,M,Independents,N/A,679901,675788,0.6,4113,,,,
2150,1980,Uttar Pradesh,Phulpur,55,G.S. Tiwari,M,Akhil Bharatiya Ramrajya Parishad,N/A,679901,674431,0.8,5470,,,,
2151,1980,Uttar Pradesh,Phulpur,55,Mohd. Tahir,M,Muslim Majlis,N/A,679901,673810,0.9,6091,,,,
2152,1980,Uttar Pradesh,Phulpur,55,Natey Ram,M,Independents,N/A,679901,673788,0.9,6113,,,,
2153,1980,Uttar Pradesh,Phulpur,55,Chhote Lal Yadav,M,Independents,N/A,679901,672992,1,6909,,,,
2154,1980,Uttar Pradesh,Phulpur,55,Laxmi Datt Pandey,M,Independents,N/A,679901,671655,1.2,8246,,,,
2155,1980,Uttar Pradesh,Phulpur,55,Roop Nath Singh Yadav,M,Janta Party,N/A,679901,622977,8.4,56924,,,,
